left_id,right_id,sentiment_left,sentiment_right,joins
0,50,neg,pos,False
0,51,neg,neg,True
0,52,neg,pos,False
0,53,neg,pos,False
0,54,neg,pos,False
0,55,neg,neg,True
0,56,neg,pos,False
0,57,neg,neg,True
0,58,neg,neg,True
0,59,neg,neg,True
0,60,neg,pos,False
0,61,neg,pos,False
0,62,neg,pos,False
0,63,neg,pos,False
0,64,neg,pos,False
0,65,neg,pos,False
0,66,neg,pos,False
0,67,neg,neg,True
0,68,neg,neg,True
0,69,neg,pos,False
0,70,neg,neg,True
0,71,neg,pos,False
0,72,neg,neg,True
0,73,neg,pos,False
0,74,neg,pos,False
0,75,neg,neg,True
0,76,neg,neg,True
0,77,neg,neg,True
0,78,neg,pos,False
0,79,neg,pos,False
0,80,neg,neg,True
0,81,neg,pos,False
0,82,neg,neg,True
0,83,neg,neg,True
0,84,neg,pos,False
0,85,neg,neg,True
0,86,neg,neg,True
0,87,neg,neg,True
0,88,neg,neg,True
0,89,neg,neg,True
0,90,neg,pos,False
0,91,neg,neg,True
0,92,neg,neg,True
0,93,neg,pos,False
0,94,neg,neg,True
0,95,neg,neg,True
0,96,neg,pos,False
0,97,neg,neg,True
0,98,neg,neg,True
0,99,neg,pos,False
1,50,neg,pos,False
1,51,neg,neg,True
1,52,neg,pos,False
1,53,neg,pos,False
1,54,neg,pos,False
1,55,neg,neg,True
1,56,neg,pos,False
1,57,neg,neg,True
1,58,neg,neg,True
1,59,neg,neg,True
1,60,neg,pos,False
1,61,neg,pos,False
1,62,neg,pos,False
1,63,neg,pos,False
1,64,neg,pos,False
1,65,neg,pos,False
1,66,neg,pos,False
1,67,neg,neg,True
1,68,neg,neg,True
1,69,neg,pos,False
1,70,neg,neg,True
1,71,neg,pos,False
1,72,neg,neg,True
1,73,neg,pos,False
1,74,neg,pos,False
1,75,neg,neg,True
1,76,neg,neg,True
1,77,neg,neg,True
1,78,neg,pos,False
1,79,neg,pos,False
1,80,neg,neg,True
1,81,neg,pos,False
1,82,neg,neg,True
1,83,neg,neg,True
1,84,neg,pos,False
1,85,neg,neg,True
1,86,neg,neg,True
1,87,neg,neg,True
1,88,neg,neg,True
1,89,neg,neg,True
1,90,neg,pos,False
1,91,neg,neg,True
1,92,neg,neg,True
1,93,neg,pos,False
1,94,neg,neg,True
1,95,neg,neg,True
1,96,neg,pos,False
1,97,neg,neg,True
1,98,neg,neg,True
1,99,neg,pos,False
2,50,neg,pos,False
2,51,neg,neg,True
2,52,neg,pos,False
2,53,neg,pos,False
2,54,neg,pos,False
2,55,neg,neg,True
2,56,neg,pos,False
2,57,neg,neg,True
2,58,neg,neg,True
2,59,neg,neg,True
2,60,neg,pos,False
2,61,neg,pos,False
2,62,neg,pos,False
2,63,neg,pos,False
2,64,neg,pos,False
2,65,neg,pos,False
2,66,neg,pos,False
2,67,neg,neg,True
2,68,neg,neg,True
2,69,neg,pos,False
2,70,neg,neg,True
2,71,neg,pos,False
2,72,neg,neg,True
2,73,neg,pos,False
2,74,neg,pos,False
2,75,neg,neg,True
2,76,neg,neg,True
2,77,neg,neg,True
2,78,neg,pos,False
2,79,neg,pos,False
2,80,neg,neg,True
2,81,neg,pos,False
2,82,neg,neg,True
2,83,neg,neg,True
2,84,neg,pos,False
2,85,neg,neg,True
2,86,neg,neg,True
2,87,neg,neg,True
2,88,neg,neg,True
2,89,neg,neg,True
2,90,neg,pos,False
2,91,neg,neg,True
2,92,neg,neg,True
2,93,neg,pos,False
2,94,neg,neg,True
2,95,neg,neg,True
2,96,neg,pos,False
2,97,neg,neg,True
2,98,neg,neg,True
2,99,neg,pos,False
3,50,neg,pos,False
3,51,neg,neg,True
3,52,neg,pos,False
3,53,neg,pos,False
3,54,neg,pos,False
3,55,neg,neg,True
3,56,neg,pos,False
3,57,neg,neg,True
3,58,neg,neg,True
3,59,neg,neg,True
3,60,neg,pos,False
3,61,neg,pos,False
3,62,neg,pos,False
3,63,neg,pos,False
3,64,neg,pos,False
3,65,neg,pos,False
3,66,neg,pos,False
3,67,neg,neg,True
3,68,neg,neg,True
3,69,neg,pos,False
3,70,neg,neg,True
3,71,neg,pos,False
3,72,neg,neg,True
3,73,neg,pos,False
3,74,neg,pos,False
3,75,neg,neg,True
3,76,neg,neg,True
3,77,neg,neg,True
3,78,neg,pos,False
3,79,neg,pos,False
3,80,neg,neg,True
3,81,neg,pos,False
3,82,neg,neg,True
3,83,neg,neg,True
3,84,neg,pos,False
3,85,neg,neg,True
3,86,neg,neg,True
3,87,neg,neg,True
3,88,neg,neg,True
3,89,neg,neg,True
3,90,neg,pos,False
3,91,neg,neg,True
3,92,neg,neg,True
3,93,neg,pos,False
3,94,neg,neg,True
3,95,neg,neg,True
3,96,neg,pos,False
3,97,neg,neg,True
3,98,neg,neg,True
3,99,neg,pos,False
4,50,neg,pos,False
4,51,neg,neg,True
4,52,neg,pos,False
4,53,neg,pos,False
4,54,neg,pos,False
4,55,neg,neg,True
4,56,neg,pos,False
4,57,neg,neg,True
4,58,neg,neg,True
4,59,neg,neg,True
4,60,neg,pos,False
4,61,neg,pos,False
4,62,neg,pos,False
4,63,neg,pos,False
4,64,neg,pos,False
4,65,neg,pos,False
4,66,neg,pos,False
4,67,neg,neg,True
4,68,neg,neg,True
4,69,neg,pos,False
4,70,neg,neg,True
4,71,neg,pos,False
4,72,neg,neg,True
4,73,neg,pos,False
4,74,neg,pos,False
4,75,neg,neg,True
4,76,neg,neg,True
4,77,neg,neg,True
4,78,neg,pos,False
4,79,neg,pos,False
4,80,neg,neg,True
4,81,neg,pos,False
4,82,neg,neg,True
4,83,neg,neg,True
4,84,neg,pos,False
4,85,neg,neg,True
4,86,neg,neg,True
4,87,neg,neg,True
4,88,neg,neg,True
4,89,neg,neg,True
4,90,neg,pos,False
4,91,neg,neg,True
4,92,neg,neg,True
4,93,neg,pos,False
4,94,neg,neg,True
4,95,neg,neg,True
4,96,neg,pos,False
4,97,neg,neg,True
4,98,neg,neg,True
4,99,neg,pos,False
5,50,pos,pos,True
5,51,pos,neg,False
5,52,pos,pos,True
5,53,pos,pos,True
5,54,pos,pos,True
5,55,pos,neg,False
5,56,pos,pos,True
5,57,pos,neg,False
5,58,pos,neg,False
5,59,pos,neg,False
5,60,pos,pos,True
5,61,pos,pos,True
5,62,pos,pos,True
5,63,pos,pos,True
5,64,pos,pos,True
5,65,pos,pos,True
5,66,pos,pos,True
5,67,pos,neg,False
5,68,pos,neg,False
5,69,pos,pos,True
5,70,pos,neg,False
5,71,pos,pos,True
5,72,pos,neg,False
5,73,pos,pos,True
5,74,pos,pos,True
5,75,pos,neg,False
5,76,pos,neg,False
5,77,pos,neg,False
5,78,pos,pos,True
5,79,pos,pos,True
5,80,pos,neg,False
5,81,pos,pos,True
5,82,pos,neg,False
5,83,pos,neg,False
5,84,pos,pos,True
5,85,pos,neg,False
5,86,pos,neg,False
5,87,pos,neg,False
5,88,pos,neg,False
5,89,pos,neg,False
5,90,pos,pos,True
5,91,pos,neg,False
5,92,pos,neg,False
5,93,pos,pos,True
5,94,pos,neg,False
5,95,pos,neg,False
5,96,pos,pos,True
5,97,pos,neg,False
5,98,pos,neg,False
5,99,pos,pos,True
6,50,pos,pos,True
6,51,pos,neg,False
6,52,pos,pos,True
6,53,pos,pos,True
6,54,pos,pos,True
6,55,pos,neg,False
6,56,pos,pos,True
6,57,pos,neg,False
6,58,pos,neg,False
6,59,pos,neg,False
6,60,pos,pos,True
6,61,pos,pos,True
6,62,pos,pos,True
6,63,pos,pos,True
6,64,pos,pos,True
6,65,pos,pos,True
6,66,pos,pos,True
6,67,pos,neg,False
6,68,pos,neg,False
6,69,pos,pos,True
6,70,pos,neg,False
6,71,pos,pos,True
6,72,pos,neg,False
6,73,pos,pos,True
6,74,pos,pos,True
6,75,pos,neg,False
6,76,pos,neg,False
6,77,pos,neg,False
6,78,pos,pos,True
6,79,pos,pos,True
6,80,pos,neg,False
6,81,pos,pos,True
6,82,pos,neg,False
6,83,pos,neg,False
6,84,pos,pos,True
6,85,pos,neg,False
6,86,pos,neg,False
6,87,pos,neg,False
6,88,pos,neg,False
6,89,pos,neg,False
6,90,pos,pos,True
6,91,pos,neg,False
6,92,pos,neg,False
6,93,pos,pos,True
6,94,pos,neg,False
6,95,pos,neg,False
6,96,pos,pos,True
6,97,pos,neg,False
6,98,pos,neg,False
6,99,pos,pos,True
7,50,neg,pos,False
7,51,neg,neg,True
7,52,neg,pos,False
7,53,neg,pos,False
7,54,neg,pos,False
7,55,neg,neg,True
7,56,neg,pos,False
7,57,neg,neg,True
7,58,neg,neg,True
7,59,neg,neg,True
7,60,neg,pos,False
7,61,neg,pos,False
7,62,neg,pos,False
7,63,neg,pos,False
7,64,neg,pos,False
7,65,neg,pos,False
7,66,neg,pos,False
7,67,neg,neg,True
7,68,neg,neg,True
7,69,neg,pos,False
7,70,neg,neg,True
7,71,neg,pos,False
7,72,neg,neg,True
7,73,neg,pos,False
7,74,neg,pos,False
7,75,neg,neg,True
7,76,neg,neg,True
7,77,neg,neg,True
7,78,neg,pos,False
7,79,neg,pos,False
